ID,Nume,Nr_Camere,Metri_Patrati,Pret,Localizare
9VB00I0O23J, Apartament 4 camere A1.2 ,4 camere,96.3 mp utili,160.892 EUR + TVA,"Bucuresti, Sector 1, zona Iancu Nicolae (Pipera) "
3AI10003VEN, Garsoniera lux P-ta Victoriei ,o cameră,33 mp utili,69.900 EUR,"Bucuresti, Sector 1, zona Victoriei (Ultracentral) "
8E7100003GI," Apartament 3 camere, Eminescu, nou, 82mp plus balcon,10 min metrou ",3 camere,88 mp utili,149.000 EUR,"Bucuresti, zona Eminescu (Dacia) "
V0D00I5TUP3, Vand apartament 3 camere brancoveanu-lamotesti ,3 camere,70 mp utili,60.000 EUR,"Bucuresti, zona Brancoveanu (Berceni) "
6QP10000D05, Apartament langa Parcul Kiseleff ,2 camere,82 mp utili,247.000 EUR + TVA,"Bucuresti, zona P-ta Victoriei (Ultracentral) "
9I6100014U9," Apartament 3 camere Piata Muncii, finalizat ! ",3 camere,74 mp utili,102.000 EUR + TVA,"Bucuresti, zona P-ta Muncii (Muncii) "
64O100000TC," Piata Sudului - Oltenitei, bucatarie mobilata si utilata ",4 camere,80 mp utili,93.000 EUR,"Bucuresti, zona Oltenitei (Berceni) "
3O200I31PIM, Vanzare 2 camere Baba Novac cu loc parcare si vedere la parc IOR ,2 camere,52 mp utili,64.000 EUR,"Bucuresti, Sector 3, zona Titan "
6UD00I1PT9S,  4 CAMERE DECEBAL ,4 camere,184 mp utili,265.000 EUR,"Bucuresti, Sector 3, zona Decebal "
3HJ10I2V704, Vanzare garsoniera Tuda- stradal. ,o cameră,32 mp utili,54.000 EUR,"Bucuresti, zona Turda (1 Mai) "
92O00I70EP6, 3 camere Crangasi -Virtutii ,3 camere,68 mp utili,81.000 EUR,"Bucuresti, Sector 6, zona Crangasi "
8N500I4K6GV, Apartament 3 camere - Unirii - Calarasilor ,3 camere,92 mp utili,150.150 EUR + TVA,"Bucuresti, Sector 3, zona Unirii "
658100041IJ, 4 camere in vila zona superba Matei Basarab Cartierul Evreiesc ,4 camere,93 mp utili,144.900 EUR,"Bucuresti, Sector 3, zona Calea Calarasilor "
78O00HAA717, Apartament nou 2 camere Aparatorii Patriei ,2 camere,58 mp utili,64.500 EUR,"Bucuresti, Sector 4, zona Berceni "
54U1000DMBG, INVESTITIE - APARTAMENT SUPERB CU GRADINA ,4 camere,109 mp utili,470.000 EUR + TVA,"Bucuresti, zona Dorobanti "
14D1000AG3T, MOJO Design Apartments Ferdinand: 2 camere cu terasa ,2 camere,60.98 mp utili,100.800 EUR + TVA,"Bucuresti, zona Iancului "
9I6100015T5, Vanzare apartament 3 camere Aviatiei ,3 camere,65 mp utili,144.990 EUR,"Bucuresti, zona Aviatiei "
55I00HOIVAJ, Neofort 57 - Apartament in Bloc Nou 3 Camere Predare Aprilie 2018 ,3 camere,103.96 mp utili,151.611 EUR + TVA,"Bucuresti, Sector 2, zona Pache Protopopescu (Ferdinand) "
65810003UN2, APARTAMENT LUX CU VEDERE LA LAC ,4 camere,150 mp utili,450.000 EUR + TVA,"Bucuresti, Sector 1, zona Herastrau "
7S3100000KC, 3 camere in vila Prelungirea Ghencea Cart.Latin 107mp Mobilat utilat la Che.. ,3 camere,107 mp utili,74.900 EUR,"Bucuresti, zona Prelungirea Ghencea (Ghencea) "
2G71000DBEK, Apartament cu 3 camere de vanzare in zona Batistei ,3 camere,120 mp utili,302.000 EUR + TVA,"Bucuresti, zona Batistei (Ultracentral) "
2G71000FUB0, Apartament deosebit cu 4 dormitoare in apropierea Pietei Victoria ,5 camere,196.26 mp utili,660.000 EUR,"Bucuresti, zona P-ta Victoriei (Ultracentral) "
83L10003BGF, Apartament 3 camere - Luxury Domain ,3 camere,127 mp utili,251.188 EUR,"Bucuresti, zona P-ta Victoriei (Ultracentral) "
2G71000FSNO, Apartament cochet de 3 camere in zona Dorobanti ,3 camere,93.58 mp utili,260.000 EUR + TVA,"Bucuresti, zona Dorobanti "
6C110000JGP," City Residence Pipera - apartamente noi , 0 comision! ",3 camere,75 mp utili,99.000 EUR + TVA,"Bucuresti, zona Pipera "
55I00HE1KQI, NEOFORT 73- 2 CAMERE - DECOMANDAT - BUCATARIE INCHISA - FINISAJE COMPLETE ,2 camere,55.3 mp utili,70.049 EUR + TVA,"Bucuresti, Sector 6, zona Grozavesti (Militari) "
55I00HIAO6G, NEOFORT 45 Soseaua Alexandriei Bucataria mobilata si utilata prima casa ,3 camere,92 mp utili,68.000 EUR,"Bucuresti, Sector 5, zona Alexandriei (Rahova) "
53U00I6GH6O, Apartament 2 camere Berceni- Metalurgiei stradal ,2 camere,65.2 mp utili,56.000 EUR,"Bucuresti, Sector 4, zona Berceni "
3B21000FAMB," MILITARI - LUJERULUI, 3 CAMERE, DECOMANDAT, FINISAJE LA CHEIE, COMISION 0% ",3 camere,70.54 mp utili,108.500 EUR,"Bucuresti, zona Drumul Taberei "
2G71000FF40, Apartament cu 4 camere de vanzare in zona Charles de Gaulle ,4 camere,134 mp utili,470.000 EUR,"Bucuresti, zona Televiziune (Dorobanti) "
80U00HMRFE5," Berceni-Grand Arena Mall, 2 camere decomandat la 'cheie' ",2 camere,48 mp utili,39.000 EUR,"Bucuresti, Sector 4, zona Berceni "
8D5100000UP," Apartament 2 camere, BUCATARIE INCHISA, TRANSPORT, Loc de joaca copii ",2 camere,65 mp utili,57.855 EUR + TVA,"Bucuresti, zona Fundeni (Colentina) "
72N1000006U, Apartament 2 cam Trapezului- Proiect Malu Mierii ,2 camere,61 mp utili,49.900 EUR,"Bucuresti, zona 1 Decembrie 1918 (Titan) "
4CO10000SQC," Parcul Cismigiu: apartament superb, parter, imobil 2008 ",4 camere,180 mp utili,360.000 EUR,"Bucuresti, zona Cismigiu (Ultracentral) "
3HJ10HT8SST, Apartament 4 camere Berceni ,4 camere,85 mp utili,72.000 EUR,"Bucuresti, Sector 4, zona Berceni "
V0D00I3V4L7, Dezvoltator - Apartament 2 Camere - Piata Iancului ,2 camere,67 mp utili,89.850 EUR,"Bucuresti, zona Iancului "
4JT100004CN, Vanzare apartament 3 camere Calea Calarasilor ,3 camere,75 mp utili,125.000 EUR,"Bucuresti, zona Calea Calarasilor "
V0B00H8IJE9, Vand apartament 4 camere lux Piata Rosetti ,4 camere,80 mp utili,145.000 EUR,"Bucuresti, zona Universitate (Ultracentral) "
8VV100000HK, Vanzare apartament cu 3 camere in zona Sebastian - Parc ,3 camere,72 mp utili,97.900 EUR,"Bucuresti, zona Sebastian (13 Septembrie) "
6581000UGO4, Vanzare Apartament 3 Camere Dristor ,3 camere,72 mp utili,95.000 EUR,"Bucuresti, Sector 3, zona Dristor "
9OV00I6847F, Apartament 2 camere cu gradina metrou Constantin Brancoveanu  ,2 camere,106.09 mp utili,99.000 EUR,"Bucuresti, Sector 4, zona Brancoveanu (Berceni) "
